818.08;[0.0, 10000.0[;[0.0, 25000.0[;*
822.0;[0.0, 10000.0[;[0.0, 25000.0[;*
825.0;[0.0, 10000.0[;[0.0, 25000.0[;*
826.0;[0.0, 10000.0[;[0.0, 25000.0[;*
827.12;[0.0, 10000.0[;[0.0, 25000.0[;*
830.5;[0.0, 10000.0[;[0.0, 25000.0[;*
832.0;[0.0, 10000.0[;[0.0, 25000.0[;*
833.59;[0.0, 10000.0[;[0.0, 25000.0[;*
835.96;[0.0, 10000.0[;[0.0, 25000.0[;*
837.9;[0.0, 10000.0[;[0.0, 25000.0[;*
840.0;[0.0, 10000.0[;[0.0, 25000.0[;*
840.32;[0.0, 10000.0[;[0.0, 25000.0[;*
842.0;[0.0, 10000.0[;[0.0, 25000.0[;*
842.53;[0.0, 10000.0[;[0.0, 25000.0[;*
845.0;[0.0, 10000.0[;[0.0, 25000.0[;*
846.0;[0.0, 10000.0[;[0.0, 25000.0[;*
850.0;[0.0, 10000.0[;[0.0, 25000.0[;*
852.0;[0.0, 10000.0[;[0.0, 25000.0[;*
854.52;[0.0, 10000.0[;[0.0, 25000.0[;*
856.0;[0.0, 10000.0[;[0.0, 25000.0[;*
857.8;[0.0, 10000.0[;[0.0, 25000.0[;*
857.85;[0.0, 10000.0[;[0.0, 25000.0[;*
858.0;[0.0, 10000.0[;[0.0, 25000.0[;*
858.5;[0.0, 10000.0[;[0.0, 25000.0[;*
860.0;[0.0, 10000.0[;[0.0, 25000.0[;*
861.59;[0.0, 10000.0[;[0.0, 25000.0[;*
862.0;[0.0, 10000.0[;[0.0, 25000.0[;*
862.05;[0.0, 10000.0[;[0.0, 25000.0[;*
865.25;[0.0, 10000.0[;[0.0, 25000.0[;*
866.0;[0.0, 10000.0[;[0.0, 25000.0[;*
868.0;[0.0, 10000.0[;[0.0, 25000.0[;*
870.0;[0.0, 10000.0[;[0.0, 25000.0[;*
870.2;[0.0, 10000.0[;[0.0, 25000.0[;*
871.54;[0.0, 10000.0[;[0.0, 25000.0[;*
872.0;[0.0, 10000.0[;[0.0, 25000.0[;*
874.0;[0.0, 10000.0[;[0.0, 25000.0[;*
874.96;[0.0, 10000.0[;[0.0, 25000.0[;*
876.0;[0.0, 10000.0[;[0.0, 25000.0[;*
877.96;[0.0, 10000.0[;[0.0, 25000.0[;*
878.0;[0.0, 10000.0[;[0.0, 25000.0[;*
879.0;[0.0, 10000.0[;[0.0, 25000.0[;*
880.0;[0.0, 10000.0[;[0.0, 25000.0[;*
882.0;[0.0, 10000.0[;[0.0, 25000.0[;*
882.26;[0.0, 10000.0[;[0.0, 25000.0[;*
884.1;[0.0, 10000.0[;[0.0, 25000.0[;*
886.0;[0.0, 10000.0[;[0.0, 25000.0[;*
888.0;[0.0, 10000.0[;[0.0, 25000.0[;*
892.06;[0.0, 10000.0[;[0.0, 25000.0[;*
893.5;[0.0, 10000.0[;[0.0, 25000.0[;*
894.0;[0.0, 10000.0[;[0.0, 25000.0[;*
894.6;[0.0, 10000.0[;[0.0, 25000.0[;*
895.0;[0.0, 10000.0[;[0.0, 25000.0[;*
896.0;[0.0, 10000.0[;[0.0, 25000.0[;*
896.05;[0.0, 10000.0[;[0.0, 25000.0[;*
